rct_1_smi,rct_2_smi,sol_smi,base_smi,metal,lig_smi,temperature,coord_atoms,ee,yield,ddG,complex_smi
Cc1ccc2ccccc2c1OS(=O)(=O)C(F)(F)F,OB(O)c1cccc2ccccc12,CN(C)C=O,O=P([O-])([O-])[O-].[K+].[K+].[K+],Ni,CN([C@@H](c1ccc2ccccc2c1)c1ccccc1P(C1CCCCC1)C1CCCCC1)[S@](=O)C(C)(C)C,25.0,P S,0.11,0.05,0.1309942221993227,[H]c1c([H])c([H])c2c(c1[H])[C@]([H])(c1c([H])c([H])c3c([H])c([H])c([H])c([H])c3c1[H])N(C([H])([H])[H])[S@](=O)(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])->[Ni](c1c([H])c([H])c([H])c3c([H])c([H])c([H])c([H])c13)(c1c(C([H])([H])[H])c([H])c([H])c3c([H])c([H])c([H])c([H])c13)<-P2(C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]
Cc1ccc2ccccc2c1OS(=O)(=O)C(F)(F)F,OB(O)c1cccc2ccccc12,CN(C)C=O,O=P([O-])([O-])[O-].[K+].[K+].[K+],Ni,CN([C@@H](c1ccc2ccccc2c1)c1cccc(OCc2ccccc2)c1P(C1CCCCC1)C1CCCCC1)[S@](=O)C(C)(C)C,25.0,P S,0.01,0.03,0.0118607738385709,[H]c1c([H])c([H])c(C([H])([H])Oc2c([H])c([H])c([H])c3c2P(C2([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])(C2([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])->[Ni](c2c([H])c([H])c([H])c4c([H])c([H])c([H])c([H])c24)(c2c(C([H])([H])[H])c([H])c([H])c4c([H])c([H])c([H])c([H])c24)<-[S@@](=O)(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])N(C([H])([H])[H])[C@@]3([H])c2c([H])c([H])c3c([H])c([H])c([H])c([H])c3c2[H])c([H])c1[H]
Cc1ccc2ccccc2c1OS(=O)(=O)C(F)(F)F,OB(O)c1cccc2ccccc12,CN(C)C=O,O=P([O-])([O-])[O-].[K+].[K+].[K+],Ni,CN([C@@H](c1cc(C(C)(C)C)cc(C(C)(C)C)c1)c1ccccc1P(C1CCCCC1)C1CCCCC1)[S@](=O)C(C)(C)C,25.0,P S,0.05,0.03,0.0593513848481117,[H]c1c([H])c([H])c2c(c1[H])[C@]([H])(c1c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c1[H])N(C([H])([H])[H])[S@](=O)(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])->[Ni](c1c([H])c([H])c([H])c3c([H])c([H])c([H])c([H])c13)(c1c(C([H])([H])[H])c([H])c([H])c3c([H])c([H])c([H])c([H])c13)<-P2(C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]
Cc1ccc2ccccc2c1OS(=O)(=O)C(F)(F)F,OB(O)c1cccc2ccccc12,CN(C)C=O,O=P([O-])([O-])[O-].[K+].[K+].[K+],Ni,CN([C@@H](c1ccccc1)c1ccccc1P(C1CCCCC1)C1CCCCC1)[S@](=O)C(C)(C)C,25.0,P S,0.06,0.03,0.0712478504666179,[H]c1c([H])c([H])c([C@@]2([H])c3c([H])c([H])c([H])c([H])c3P(C3([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])(C3([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])->[Ni](c3c([H])c([H])c([H])c4c([H])c([H])c([H])c([H])c34)(c3c(C([H])([H])[H])c([H])c([H])c4c([H])c([H])c([H])c([H])c34)<-[S@@](=O)(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])N2C([H])([H])[H])c([H])c1[H]
Cc1ccc2ccccc2c1OS(=O)(=O)C(F)(F)F,OB(O)c1cccc2ccccc12,CN(C)C=O,O=P([O-])([O-])[O-].[K+].[K+].[K+],Ni,CN([C@H](c1ccccc1P(C1CCCCC1)C1CCCCC1)c1cccc2ccccc12)[S@](=O)C(C)(C)C,25.0,P S,0.08,0.03,0.0950862257298973,[H]c1c([H])c([H])c2c(c1[H])[C@]([H])(c1c([H])c([H])c([H])c3c([H])c([H])c([H])c([H])c13)N(C([H])([H])[H])[S@](=O)(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])->[Ni](c1c([H])c([H])c([H])c3c([H])c([H])c([H])c([H])c13)(c1c(C([H])([H])[H])c([H])c([H])c3c([H])c([H])c([H])c([H])c13)<-P2(C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]
Cc1ccc2ccccc2c1OS(=O)(=O)C(F)(F)F,OB(O)c1cccc2ccccc12,CN(C)C=O,O=P([O-])([O-])[O-].[K+].[K+].[K+],Ni,CN([C@@H](c1ccccc1)c1cccc(OCc2ccccc2)c1P(C1CCCCC1)C1CCCCC1)[S@](=O)C(C)(C)C,25.0,P S,0.09,0.03,0.1070330222592367,[H]c1c([H])c([H])c(C([H])([H])Oc2c([H])c([H])c([H])c3c2P(C2([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])(C2([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])->[Ni](c2c([H])c([H])c([H])c4c([H])c([H])c([H])c([H])c24)(c2c(C([H])([H])[H])c([H])c([H])c4c([H])c([H])c([H])c([H])c24)<-[S@@](=O)(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])N(C([H])([H])[H])[C@@]3([H])c2c([H])c([H])c([H])c([H])c2[H])c([H])c1[H]
Cc1ccc2ccccc2c1OS(=O)(=O)C(F)(F)F,OB(O)c1cccc2ccccc12,CN(C)C=O,O=P([O-])([O-])[O-].[K+].[K+].[K+],Ni,COc1ccc([C@@H](c2ccccc2P(C2CCCCC2)C2CCCCC2)N(C)[S@](=O)C(C)(C)C)cc1,25.0,P S,0.03,0.03,0.0355918155151726,[H]c1c([H])c([H])c2c(c1[H])[C@]([H])(c1c([H])c([H])c(OC([H])([H])[H])c([H])c1[H])N(C([H])([H])[H])[S@](=O)(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])->[Ni](c1c([H])c([H])c([H])c3c([H])c([H])c([H])c([H])c13)(c1c(C([H])([H])[H])c([H])c([H])c3c([H])c([H])c([H])c([H])c13)<-P2(C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]
Cc1ccc2ccccc2c1OS(=O)(=O)C(F)(F)F,OB(O)c1cccc2ccccc12,CN(C)C=O,O=P([O-])([O-])[O-].[K+].[K+].[K+],Ni,COc1c(C(C)(C)C)cc([C@@H](c2ccccc2P(C2CCCCC2)C2CCCCC2)N(C)[S@](=O)C(C)(C)C)cc1C(C)(C)C,25.0,P S,0.24,0.03,0.2903113615528974,[H]c1c([H])c([H])c2c(c1[H])[C@]([H])(c1c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c(OC([H])([H])[H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c1[H])N(C([H])([H])[H])[S@](=O)(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])->[Ni](c1c([H])c([H])c([H])c3c([H])c([H])c([H])c([H])c13)(c1c(C([H])([H])[H])c([H])c([H])c3c([H])c([H])c([H])c([H])c13)<-P2(C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]
Cc1ccc2ccccc2c1OS(=O)(=O)C(F)(F)F,OB(O)c1cccc2ccccc12,CN(C)C=O,O=P([O-])([O-])[O-].[K+].[K+].[K+],Ni,CN([C@H](c1ccc(C(C)(C)C)cc1)c1ccccc1P(C1CCCCC1)C1CCCCC1)[S@](=O)C(C)(C)C,25.0,P S,-0.18,0.09,0.2158383561592256,[H]c1c([H])c([H])c2c(c1[H])[C@@]([H])(c1c([H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c1[H])N(C([H])([H])[H])[S@](=O)(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])->[Ni](c1c([H])c([H])c([H])c3c([H])c([H])c([H])c([H])c13)(c1c(C([H])([H])[H])c([H])c([H])c3c([H])c([H])c([H])c([H])c13)<-P2(C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]
Cc1ccc2ccccc2c1OS(=O)(=O)C(F)(F)F,OB(O)c1cccc2ccccc12,CN(C)C=O,O=P([O-])([O-])[O-].[K+].[K+].[K+],Ni,CN([C@@H](c1ccccc1)c1ccccc1P([C@]12C[C@@H]3C[C@@H](C[C@@H](C3)C1)C2)[C@]12C[C@@H]3C[C@@H](C[C@@H](C3)C1)C2)[S@](=O)C(C)(C)C,25.0,P S,0.01,0.0,0.0118607738385709,[H]c1c([H])c([H])c([C@@]2([H])c3c([H])c([H])c([H])c([H])c3P(C34C([H])([H])C5([H])C([H])([H])C([H])(C([H])([H])C([H])(C5([H])[H])C3([H])[H])C4([H])[H])(C34C([H])([H])C5([H])C([H])([H])C([H])(C([H])([H])C([H])(C5([H])[H])C3([H])[H])C4([H])[H])->[Ni](c3c([H])c([H])c([H])c4c([H])c([H])c([H])c([H])c34)(c3c(C([H])([H])[H])c([H])c([H])c4c([H])c([H])c([H])c([H])c34)<-[S@@](=O)(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])N2C([H])([H])[H])c([H])c1[H]
Cc1ccc2ccccc2c1OS(=O)(=O)C(F)(F)F,OB(O)c1cccc2ccccc12,CN(C)C=O,O=P([O-])([O-])[O-].[K+].[K+].[K+],Ni,CN([C@H](CP(c1ccccc1)c1ccccc1)c1ccccc1)[S@](=O)C(C)(C)C,25.0,P S,0.66,0.94,0.9403069729283244,[H]c1c([H])c([H])c([C@]2([H])N(C([H])([H])[H])[S@](=O)(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])->[Ni](c3c([H])c([H])c([H])c4c([H])c([H])c([H])c([H])c34)(c3c(C([H])([H])[H])c([H])c([H])c4c([H])c([H])c([H])c([H])c34)<-P(c3c([H])c([H])c([H])c([H])c3[H])(c3c([H])c([H])c([H])c([H])c3[H])C2([H])[H])c([H])c1[H]
