smiles,score
CC(C)(C)[S@@](=O)N(Cc1ccccc1)[C@H](CP(c1ccccc1)c1ccccc1)c1ccccc1,0.984507933500655
Cc1ccc([C@@H](CP(c2ccccc2)c2ccccc2)N(Cc2ccccc2)[S@](=O)C(C)(C)C)cc1,0.9586246560918823
Cc1ccc(CN([C@H](CP(c2ccccc2)c2ccccc2)c2ccccc2)[S@](=O)C(C)(C)C)cc1,0.9164596608641469
Cc1ccc(CN([C@H](CP(c2ccc(C)cc2)c2ccc(C)cc2)c2ccccc2)[S@](=O)C(C)(C)C)cc1,0.8065228834915739
COc1ccc(CN([C@H](CP(c2ccccc2)c2ccccc2)c2ccsc2)[S@](=O)C(C)(C)C)cc1,0.8022901911105984
COc1ccc(CN([C@H](CP(c2ccc(C)cc2)c2ccc(C)cc2)c2ccco2)[S@](=O)C(C)(C)C)cc1,0.7910572825896576
CC(C)(C)[S@@](=O)N(Cc1ccccc1)[C@@H](Cc1ccccc1)CP(Cc1ccccc1)Cc1ccccc1,0.763714776653071
Cc1ccc([C@@H](CP(c2ccc(C)cc2)c2ccc(C)cc2)N(Cc2ccccc2)[S@](=O)C(C)(C)C)cc1,0.7358077912272822
Cc1ccc(CN([C@H](CP(Cc2ccccc2)Cc2ccccc2)c2ccc(C)cc2)[S@](=O)C(C)(C)C)cc1,0.7263277494696063
Cc1ccc(CN([C@H](CP(c2ccccc2)c2ccccc2)c2cc(C)cc(C)c2)[S@](=O)C(C)(C)C)cc1,0.7231290607716094
CC(C)(C)[S@@](=O)N(Cc1ccncc1)[C@H](CP(c1ccccc1)c1ccccc1)c1ccccc1-c1ccccc1,0.7200211199566914
Cc1ccc(CN([C@H](CP(c2ccccc2)c2ccccc2)c2c(C)cccc2C)[S@](=O)C(C)(C)C)cc1,0.7176543189052125
CC(C)(C)[S@@](=O)N(Cc1ccncc1)[C@H](CP(Cc1ccccc1)Cc1ccccc1)C1CCCCC1,0.7107947635134755
CC(C)(C)[S@@](=O)N(Cc1ccc(F)cc1)[C@H](CP(Cc1ccccc1)Cc1ccccc1)c1ccc(F)cc1,0.7080090957243557
CC(C)(C)[S@@](=O)N(Cc1ccccc1)[C@H](CP(c1ccc2ccccc2c1)c1ccc2ccccc2c1)c1cccs1,0.6997380459959318
CC(C)(C)[S@@](=O)N(C1CCCCC1)[C@H](CP(c1ccccc1)c1ccccc1)C1CCCCC1,0.6937500241315712
CN([C@H](CP(c1ccccc1)c1ccccc1)c1ccccc1)[S@](=O)C(C)(C)C,0.6900609308266378
Cc1ccc(P(C[C@H](c2ccccc2)N(Cc2cccc3ccccc23)[S@](=O)C(C)(C)C)c2ccc(C)cc2)cc1,0.6878198089742267
Cc1cc(C)cc([C@@H](CP(Cc2ccccc2)Cc2ccccc2)N(Cc2ccccc2)[S@](=O)C(C)(C)C)c1,0.6850316385565527
Cc1ccc(CN([C@H](CP(C)C)C2CCCCC2)[S@](=O)C(C)(C)C)cc1,0.6806176284317462
COc1ccc(P(C[C@H](c2ccoc2)N(Cc2ccccc2)[S@](=O)C(C)(C)C)c2ccc(OC)cc2)cc1,0.68053556838124
COc1ccc([C@@H](CP(c2ccccc2)c2ccccc2)N(C)[S@](=O)C(C)(C)C)cc1,0.6748734835356237
CC(C)(C)[S@@](=O)N(Cc1ccccc1)[C@@H](Cc1ccccc1)CP(c1ccccc1)c1ccccc1,0.6731391863973711
CC(C)(C)P(C[C@H](c1ccc2ccccc2c1)N(Cc1ccc(F)cc1)[S@](=O)C(C)(C)C)C(C)(C)C,0.6719728093670136
Cc1ccc([C@@H](CP(c2ccccc2)c2ccccc2)N(C)[S@](=O)C(C)(C)C)cc1,0.6660296452811278
COc1ccc([C@@H](CP(c2cccc3ccccc23)c2cccc3ccccc23)N(C)[S@](=O)C(C)(C)C)cc1,0.6621510319246973
COc1ccc(CN([C@H](CP(c2ccccc2)c2ccccc2)c2ccccc2)[S@](=O)C(C)(C)C)cc1,0.6605754109036239
COc1ccc([C@@H](CP(c2ccccc2)c2ccccc2)N(Cc2ccccc2)[S@](=O)C(C)(C)C)cc1,0.6602086184507936
COc1ccc(P(C[C@H](c2ccc(C#N)cc2)N(Cc2ccncc2)[S@](=O)C(C)(C)C)c2ccc(OC)cc2)cc1,0.6597817232265171
CN([C@H](CP(c1ccccc1)c1ccccc1)c1ccc2ccccc2c1)[S@](=O)C(C)(C)C,0.6567839268130635
CP(C)C[C@H](C1CCCCC1)N(Cc1ccccc1)[S@](=O)C(C)(C)C,0.6567390860415627
CN([C@H](CP(c1ccccc1)c1ccccc1)c1ccc(F)cc1)[S@](=O)C(C)(C)C,0.6564985463800282
CC(C)(C)[S@@](=O)N(Cc1ccccc1)[C@H](CP(Cc1ccccc1)Cc1ccccc1)c1cc(F)cc(F)c1,0.6550344595497197
CN([C@H](CP(c1ccccc1)c1ccccc1)c1cccc2ccccc12)[S@](=O)C(C)(C)C,0.6550110299227199
CP(C)C[C@H](Cc1ccccc1)N(C1CCCCC1)[S@](=O)C(C)(C)C,0.654623634536546
CC(C)(C)[S@@](=O)N(Cc1ccc(F)cc1)[C@H](CP(c1ccccc1)c1ccccc1)c1ccccc1,0.6526777326718587
CC(C)(C)[S@@](=O)N(Cc1ccccc1)[C@H](CP(c1ccccc1)c1ccccc1)c1ccc(F)cc1,0.6523002569437037
C=CCN([C@H](CP(c1ccc(C)cc1)c1ccc(C)cc1)c1ccc2ccccc2c1)[S@](=O)C(C)(C)C,0.6477619585243587
COc1ccc(P(C[C@H](c2cccs2)N(Cc2c3ccccc3cc3ccccc23)[S@](=O)C(C)(C)C)c2ccc(OC)cc2)cc1,0.6476176260249039
Cc1ccc(CN([C@@H](Cc2ccccc2)CP(c2ccccc2)c2ccccc2)[S@](=O)C(C)(C)C)cc1,0.6475738724420856
COc1ccc(P(C[C@H](c2ccc(C)cc2)N(C)[S@](=O)C(C)(C)C)c2ccc(OC)cc2)cc1,0.6460800461721636
COc1cccc(OC)c1[C@@H](CP(c1ccccc1)c1ccccc1)N(C)[S@](=O)C(C)(C)C,0.6398574268305451
COc1cc(OC)cc([C@@H](CP(c2ccccc2)c2ccccc2)N(C)[S@](=O)C(C)(C)C)c1,0.6366543604470181
Cc1ccc(CN([C@H](CP(c2ccccc2)c2ccccc2)c2ccc(C)cc2)[S@](=O)C(C)(C)C)cc1,0.6346971508994769
COc1ccc(CN([C@H](CP(c2ccccc2)c2ccccc2)c2ccc(OC)cc2)[S@](=O)C(C)(C)C)cc1,0.6332028120918374
CC(C)(C)[S@@](=O)N(Cc1ccccc1)[C@H](CP(c1ccccc1)c1ccccc1)c1ccc2ccccc2c1,0.6312417847336416
CC(C)(C)[S@@](=O)N(Cc1cccc2ccccc12)[C@H](CP(c1ccccc1)c1ccccc1)c1ccccc1,0.630492622037931
CC(C)(C)[S@@](=O)N(Cc1ccc2ccccc2c1)[C@H](CP(c1ccccc1)c1ccccc1)c1ccccc1,0.6299779862312593
CC(C)(C)[S@@](=O)N(Cc1ccccc1)[C@H](CP(c1ccccc1)c1ccccc1)c1cccc2ccccc12,0.6297669855505247
CP(C)C[C@H](C1CCCCC1)N(Cc1ccc(F)cc1)[S@](=O)C(C)(C)C,0.6293843390719424
COc1ccc([C@@H](CP(c2ccccc2)c2ccccc2)N(Cc2ccc(F)cc2)[S@](=O)C(C)(C)C)cc1,0.6271131441326075
COc1ccc(CN([C@H](CP(c2ccccc2)c2ccccc2)c2ccc(F)cc2)[S@](=O)C(C)(C)C)cc1,0.6271131441326075
Cc1ccc([C@@H](CP(c2ccccc2)c2ccccc2)N(Cc2ccc(F)cc2)[S@](=O)C(C)(C)C)cc1,0.6270722717785986
Cc1ccc(CN([C@H](CP(c2ccccc2)c2ccccc2)c2ccc(F)cc2)[S@](=O)C(C)(C)C)cc1,0.6270722717785986
CN([C@H](CP(Cc1ccccc1)Cc1ccccc1)c1ccccc1)[S@](=O)C(C)(C)C,0.6266004741312345
C=CCN([C@H](CP(c1cccc2ccccc12)c1cccc2ccccc12)c1ccccc1)[S@](=O)C(C)(C)C,0.625970110148115
COc1ccc(CN([C@H](CP(C(C)(C)C)C(C)(C)C)c2cc(C)cc(C)c2)[S@](=O)C(C)(C)C)cc1,0.6248831987039222
CP(C)C[C@H](c1ccccc1)N(Cc1ccccc1)[S@](=O)C(C)(C)C,0.6237284307192517
Cc1ccc(P(C[C@H](c2cccc3ccccc23)N(Cc2ccccc2)[S@](=O)C(C)(C)C)c2ccc(C)cc2)cc1,0.6231131377224927
C[C@@H](CP(c1ccccc1)c1ccccc1)N(Cc1cccc2ccccc12)[S@](=O)C(C)(C)C,0.6230857436721133
C[C@@H](CP(c1ccccc1)c1ccccc1)N(Cc1ccc2ccccc2c1)[S@](=O)C(C)(C)C,0.6224862194849599
COc1ccc(P(C[C@H](c2ccccc2)N(C)[S@](=O)C(C)(C)C)c2ccc(OC)cc2)cc1,0.6222631405040908
CC(C)(C)[S@@](=O)N(Cc1ccccc1)[C@H](CP(Cc1ccccc1)Cc1ccccc1)c1ccccc1,0.6195790808573697
CC(C)(C)[S@@](=O)N(Cc1ccc(F)cc1)[C@H](CP(c1ccccc1)c1ccccc1)c1ccc(F)cc1,0.6194473926577186
COc1ccc(P(C[C@@H](N(C2CCCCC2)[S@](=O)C(C)(C)C)C(C)(C)C)c2ccc(OC)cc2)cc1,0.6170740919178229
CN([C@H](CP(c1ccccc1)c1ccccc1)c1ccccc1-c1ccccc1)[S@](=O)C(C)(C)C,0.6166804757937543
CC(C)(C)[S@@](=O)N(Cc1cccc2ccccc12)[C@@H](Cc1ccccc1)CP(c1ccccc1)c1ccccc1,0.6159936694596104
COc1ccc(P(C[C@H](c2ccccn2)N(Cc2ccc(C#N)cc2)[S@](=O)C(C)(C)C)c2ccc(OC)cc2)cc1,0.6156858570451608
CC(C)(C)[S@@](=O)N(Cc1ccc2ccccc2c1)[C@@H](Cc1ccccc1)CP(c1ccccc1)c1ccccc1,0.6154923431996626
C=CCN([C@H](CP(c1ccc(OC)cc1)c1ccc(OC)cc1)c1ccc(OC)cc1)[S@](=O)C(C)(C)C,0.6135916553181271
COc1ccc(P(C[C@H](c2ccncc2)N(Cc2ccc(C#N)cc2)[S@](=O)C(C)(C)C)c2ccc(OC)cc2)cc1,0.6128017986897227
COc1ccc([C@@H](CP(Cc2ccccc2)Cc2ccccc2)N(C)[S@](=O)C(C)(C)C)cc1,0.6108863501275672
