smiles,score
COc1ccc(P(C[C@H](c2ccc(C)cc2)N(C)[S@](=O)C(C)(C)C)c2ccc(OC)cc2)cc1,0.644710199582916
COc1ccc([C@@H](CP(c2ccccc2)c2ccccc2)N(C)[S@](=O)C(C)(C)C)cc1,0.6410816251561109
Cc1ccc(P(C[C@H](c2cccc3ccccc23)N(Cc2ccccc2)[S@](=O)C(C)(C)C)c2ccc(C)cc2)cc1,0.6410448526272889
CC(C)(C)[S@@](=O)N(Cc1ccccc1)[C@@H](Cc1ccccc1)CP(c1ccccc1)c1ccccc1,0.6399254270639425
COc1cc(OC)cc([C@@H](CP(c2ccccc2)c2ccccc2)N(C)[S@](=O)C(C)(C)C)c1,0.6384264090994856
CC(C)(C)[S@@](=O)N(Cc1cccs1)[C@H](CP(c1ccccc1)c1ccccc1)c1c2ccccc2cc2ccccc12,0.6359311459581647
Cc1ccc([C@@H](CP(c2ccccc2)c2ccccc2)N(C)[S@](=O)C(C)(C)C)cc1,0.635185732986447
COc1ccc(CN([C@H](CP(c2ccccc2)c2ccccc2)c2ccccc2)[S@](=O)C(C)(C)C)cc1,0.6315495767347777
COc1ccc(P(C[C@H](c2cc(OC)cc(OC)c2)N(Cc2cccs2)[S@](=O)C(C)(C)C)c2ccc(OC)cc2)cc1,0.6313335037459352
COc1ccc([C@@H](CP(c2ccccc2)c2ccccc2)N(Cc2ccccc2)[S@](=O)C(C)(C)C)cc1,0.6313050484328909
CC(C)(C)[S@@](=O)N(C1CCCCC1)[C@H](CP(Cc1ccccc1)Cc1ccccc1)c1c2ccccc2cc2ccccc12,0.6306849488038135
CN([C@H](CP(c1ccccc1)c1ccccc1)c1ccc2ccccc2c1)[S@](=O)C(C)(C)C,0.6290219206744042
CN([C@H](CP(c1ccccc1)c1ccccc1)c1ccc(F)cc1)[S@](=O)C(C)(C)C,0.6288316670523806
CN([C@H](CP(c1ccccc1)c1ccccc1)c1cccc2ccccc12)[S@](=O)C(C)(C)C,0.6278399894141751
CC(C)(C)[S@@](=O)N(Cc1ccc(F)cc1)[C@H](CP(c1ccccc1)c1ccccc1)c1ccccc1,0.6262844579136009
CC(C)(C)[S@@](=O)N(Cc1ccccc1)[C@H](CP(c1ccccc1)c1ccccc1)c1ccc(F)cc1,0.6260328074281643
Cc1ccc(CN([C@@H](Cc2ccccc2)CP(c2ccccc2)c2ccccc2)[S@](=O)C(C)(C)C)cc1,0.6228818844270856
COc1ccc(P(C[C@H](c2c(OC)cccc2OC)N(Cc2cccs2)[S@](=O)C(C)(C)C)c2ccc(OC)cc2)cc1,0.622031117316893
Cc1ccc(P(C[C@H](c2c3ccccc3cc3ccccc23)N(C2CCCCC2)[S@](=O)C(C)(C)C)c2ccc(C)cc2)cc1,0.6214573732543622
Cc1ccc([C@@H](CP(c2cccc3ccccc23)c2cccc3ccccc23)N(Cc2ccsc2)[S@](=O)C(C)(C)C)cc1,0.6194678931510916
COc1ccc(P(C[C@H](c2ccsc2)N(C2CCCCC2)[S@](=O)C(C)(C)C)c2ccc(OC)cc2)cc1,0.6177150956888557
COc1ccc(CN([C@H](CP(c2ccc(OC)cc2)c2ccc(OC)cc2)c2cccs2)[S@](=O)C(C)(C)C)cc1,0.6170546410201274
Cc1ccc([C@@H](CP(Cc2ccccc2)Cc2ccccc2)N(Cc2cccc3ccccc23)[S@](=O)C(C)(C)C)cc1,0.6168471323171991
Cc1ccc(CN([C@H](CP(Cc2ccccc2)Cc2ccccc2)c2cccc3ccccc23)[S@](=O)C(C)(C)C)cc1,0.6166095735123679
Cc1ccc(CN([C@H](CP(c2ccccc2)c2ccccc2)c2ccc(C)cc2)[S@](=O)C(C)(C)C)cc1,0.6142974033986797
COc1ccc(CN([C@H](CP(c2ccccc2)c2ccccc2)c2ccc(OC)cc2)[S@](=O)C(C)(C)C)cc1,0.61330117752692
COc1ccc([C@@H](CP(c2ccc(OC)cc2)c2ccc(OC)cc2)N(Cc2cccs2)[S@](=O)C(C)(C)C)cc1,0.6129792155606308
CC(C)(C)[S@@](=O)N(Cc1ccccc1)[C@H](CP(c1ccccc1)c1ccccc1)c1ccc2ccccc2c1,0.6119938259547895
CC(C)(C)[S@@](=O)N(Cc1cccc2ccccc12)[C@H](CP(c1ccccc1)c1ccccc1)c1ccccc1,0.6114943841576491
CC(C)(C)[S@@](=O)N(Cc1ccc2ccccc2c1)[C@H](CP(c1ccccc1)c1ccccc1)c1ccccc1,0.611151293619868
CC(C)(C)[S@@](=O)N(Cc1ccccc1)[C@H](CP(c1ccccc1)c1ccccc1)c1cccc2ccccc12,0.6110106264993782
COc1ccc([C@@H](CP(c2ccccc2)c2ccccc2)N(Cc2ccc(F)cc2)[S@](=O)C(C)(C)C)cc1,0.6092413988874334
COc1ccc(CN([C@H](CP(c2ccccc2)c2ccccc2)c2ccc(F)cc2)[S@](=O)C(C)(C)C)cc1,0.6092413988874334
Cc1ccc([C@@H](CP(c2ccccc2)c2ccccc2)N(Cc2ccc(F)cc2)[S@](=O)C(C)(C)C)cc1,0.6092141506514275
Cc1ccc(CN([C@H](CP(c2ccccc2)c2ccccc2)c2ccc(F)cc2)[S@](=O)C(C)(C)C)cc1,0.6092141506514275
CC(C)[C@@H](CP(c1ccccc1)c1ccccc1)N(Cc1cccnc1)[S@](=O)C(C)(C)C,0.6091494518372
CN([C@H](CP(Cc1ccccc1)Cc1ccccc1)c1ccccc1)[S@](=O)C(C)(C)C,0.6088996188865182
COc1ccc(CN([C@H](CP(c2cccc3ccccc23)c2cccc3ccccc23)c2ccc(OC)cc2)[S@](=O)C(C)(C)C)cc1,0.608211351559533
CP(C)C[C@H](c1ccccc1)N(Cc1ccccc1)[S@](=O)C(C)(C)C,0.6069849232785296
C[C@@H](CP(c1ccccc1)c1ccccc1)N(Cc1cccc2ccccc12)[S@](=O)C(C)(C)C,0.606556465247104
C[C@@H](CP(c1ccccc1)c1ccccc1)N(Cc1ccc2ccccc2c1)[S@](=O)C(C)(C)C,0.6061567824556684
COc1ccc(P(C[C@H](c2ccccc2)N(C)[S@](=O)C(C)(C)C)c2ccc(OC)cc2)cc1,0.606008063135089
CC(C)(C)[S@@](=O)N(Cc1ccccc1)[C@H](CP(Cc1ccccc1)Cc1ccccc1)c1ccccc1,0.6042186900372749
CC(C)(C)[S@@](=O)N(Cc1ccc(F)cc1)[C@H](CP(c1ccccc1)c1ccccc1)c1ccc(F)cc1,0.6041308979041742
C=CCN([C@H](CP(c1ccc(OC)cc1)c1ccc(OC)cc1)c1cc(C)cc(C)c1)[S@](=O)C(C)(C)C,0.6034076221017637
CC(C)(C)[S@@](=O)N(Cc1cccc2ccccc12)[C@@H](Cc1ccccc1)CP(c1ccccc1)c1ccccc1,0.6018284157721021
CC(C)(C)[S@@](=O)N(Cc1ccc2ccccc2c1)[C@@H](Cc1ccccc1)CP(c1ccccc1)c1ccccc1,0.6014941982654702
C=CCN([C@H](CP(c1ccccc1)c1ccccc1)c1c2ccccc2cc2ccccc12)[S@](=O)C(C)(C)C,0.5999607237483598
COc1ccc([C@@H](CP(Cc2ccccc2)Cc2ccccc2)N(C)[S@](=O)C(C)(C)C)cc1,0.5984235362174066
COc1ccc(CN([C@H](CP(C)C)c2ccc3ccccc3c2)[S@](=O)C(C)(C)C)cc1,0.5975065761153368
COc1ccc([C@@H](CP(C)C)N(Cc2cccc3ccccc23)[S@](=O)C(C)(C)C)cc1,0.596548937474907
COc1ccc(CN([C@H](CP(C)C)c2cccc3ccccc23)[S@](=O)C(C)(C)C)cc1,0.596214697761132
COc1ccc([C@@H](CP(C)C)N(Cc2ccc3ccccc3c2)[S@](=O)C(C)(C)C)cc1,0.5960981324659621
Cc1ccc(CN([C@H](CP(c2ccccc2)c2ccccc2)c2ccc3ccccc3c2)[S@](=O)C(C)(C)C)cc1,0.5948631859254868
Cc1ccc(P(C[C@H](c2ccccc2)N(C)[S@](=O)C(C)(C)C)c2ccc(C)cc2)cc1,0.5946336601940481
Cc1ccc([C@@H](CP(c2ccccc2)c2ccccc2)N(Cc2cccc3ccccc23)[S@](=O)C(C)(C)C)cc1,0.5941470387682963
COc1ccc(P(C[C@H](c2ccccc2)N(Cc2c3ccccc3cc3ccccc23)[S@](=O)C(C)(C)C)c2ccc(OC)cc2)cc1,0.5940127874569688
COc1ccc(P(C[C@H](c2ccccc2)N(Cc2ccccc2)[S@](=O)C(C)(C)C)c2ccc(OC)cc2)cc1,0.5939993895851321
