smiles,score
CC(C)(C)[S@@](=O)N(Cc1ccccc1)[C@H](CP(c1ccccc1)c1ccccc1)c1ccccc1,0.9793439113342067
Cc1ccc([C@@H](CP(c2ccccc2)c2ccccc2)N(Cc2ccccc2)[S@](=O)C(C)(C)C)cc1,0.9448328747891764
Cc1ccc(CN([C@H](CP(c2ccccc2)c2ccccc2)c2ccccc2)[S@](=O)C(C)(C)C)cc1,0.9088712006550017
Cc1ccc(CN([C@H](CP(c2ccc(C)cc2)c2ccc(C)cc2)c2ccccc2)[S@](=O)C(C)(C)C)cc1,0.7760432014543899
COc1ccc(CN([C@H](CP(c2ccccc2)c2ccccc2)c2ccsc2)[S@](=O)C(C)(C)C)cc1,0.7566452409836036
CC(C)(C)[S@@](=O)N(Cc1ccccc1)[C@@H](Cc1ccccc1)CP(Cc1ccccc1)Cc1ccccc1,0.7524665484212956
CN([C@H](CP(c1ccccc1)c1ccccc1)c1ccccc1)[S@](=O)C(C)(C)C,0.7289152716364886
COc1ccc(CN([C@H](CP(c2ccc(C)cc2)c2ccc(C)cc2)c2ccco2)[S@](=O)C(C)(C)C)cc1,0.7214097101195435
Cc1ccc([C@@H](CP(c2ccc(C)cc2)c2ccc(C)cc2)N(Cc2ccccc2)[S@](=O)C(C)(C)C)cc1,0.7152572345202438
COc1ccc([C@@H](CP(c2ccccc2)c2ccccc2)N(C)[S@](=O)C(C)(C)C)cc1,0.7086653419151365
CC(C)(C)[S@@](=O)N(Cc1ccccc1)[C@@H](Cc1ccccc1)CP(c1ccccc1)c1ccccc1,0.7063529457307998
Cc1ccc(CN([C@H](CP(Cc2ccccc2)Cc2ccccc2)c2ccc(C)cc2)[S@](=O)C(C)(C)C)cc1,0.7026171788433426
Cc1ccc([C@@H](CP(c2ccccc2)c2ccccc2)N(C)[S@](=O)C(C)(C)C)cc1,0.6968735575758086
Cc1ccc(CN([C@H](CP(c2ccccc2)c2ccccc2)c2cc(C)cc(C)c2)[S@](=O)C(C)(C)C)cc1,0.6953304106131839
Cc1ccc(CN([C@H](CP(c2ccccc2)c2ccccc2)c2c(C)cccc2C)[S@](=O)C(C)(C)C)cc1,0.6910526047574842
COc1ccc(CN([C@H](CP(c2ccccc2)c2ccccc2)c2ccccc2)[S@](=O)C(C)(C)C)cc1,0.6896012450724702
COc1ccc([C@@H](CP(c2ccccc2)c2ccccc2)N(Cc2ccccc2)[S@](=O)C(C)(C)C)cc1,0.6891121884686965
CC(C)(C)[S@@](=O)N(Cc1ccncc1)[C@H](CP(c1ccccc1)c1ccccc1)c1ccccc1-c1ccccc1,0.6871689220844224
CN([C@H](CP(c1ccccc1)c1ccccc1)c1ccc2ccccc2c1)[S@](=O)C(C)(C)C,0.6845459329517231
CN([C@H](CP(c1ccccc1)c1ccccc1)c1ccc(F)cc1)[S@](=O)C(C)(C)C,0.6841654257076759
CN([C@H](CP(c1ccccc1)c1ccccc1)c1cccc2ccccc12)[S@](=O)C(C)(C)C,0.6821820704312647
CC(C)(C)[S@@](=O)N(Cc1ccc(F)cc1)[C@H](CP(Cc1ccccc1)Cc1ccccc1)c1ccc(F)cc1,0.6800462151638672
CC(C)(C)[S@@](=O)N(Cc1ccc(F)cc1)[C@H](CP(c1ccccc1)c1ccccc1)c1ccccc1,0.6790710074301164
